id,r.x,r.y,r.z,midsag
100427a,1,1,1,97
100427b,1,1,1,97
100427c,1,1,1,97
103201a,1,1,1,97
103201b,1,1,1,96
103201c,1,1,1,97
109323a,1,1,1,97
109323b,1,1,1,97
109323c,1,1,1,97
109353a,1,1,1,97
109353b,1,1,1,98
109353c,0.9997,1.001,0.9983,109
500005-746a,1,1,1,97
500005-746b,1,1,1,97
500005-746c,1,1,1,96
500006-031a,1,1,1,96
500006-031b,1,1,1,96
500006-031c,1,1,1,97
500006-210a,1,1,1,97
500006-210b,1,1,1,97
500006-210c,1,1,1,97
500006-266a,1,1,1,97
500006-266b,1,1,1,97
500006-266c,1,1,1,97
S0038_1,1,1,1,97
S0038_2,1,1,1,98
S0038_3,1,1,1,97
S0045_1,1,1,1,97
S0045_2,1,1,1,97
S0045_3,1,1,1,97
S0075_1,1,1,1,97
S0075_2,1,1,1,97
S0085_1,1,1,1,97
S0085_2,1,1,1,97
S0181_1,0.9991,0.9983,1,101
S0181_2,1,1,1,96
S0181_3,1,1,1,97
S0226_1,1,1,1,98
S0226_2,1,1,1,97
S0226_3,1,1,1,98
S0239_1,1,1,1,97
S0239_2,1,1,1,96
S0239_3,1,1,1,97
S0247_2,1,1,1,97
S0247_3,1,1,1,95
S0247_4,1,1,1,96
S0247_5,1,1,1,96
T0300_1,1,1,1,95
T0300_2,1,1,1,95
T0301_1,1,1,1,97
T0301_2,1,1,1,97
T0303_1,1,1,1,97
T0303_2,1,1.001,1.001,95
T0303_3,1,1,1,97
T0304_1,1,1,1,96
T0304_2,1,1,1,97
T0304_3,1,1,1,97
T0305_1,1,1,1,97
T0305_2,1,1,1,97
T0305_3,1,1,1,97
T0315_1,1,0.9992,0.9992,98
T0315_2,1,1,1,97
T0316_1,1,1,1,97
T0316_2,1,1,1,97
T0317_1,1,1,1,97
T0317_2,1,1,1,97
T0319_1,1,1,1,97
T0319_2,1.001,0.9989,1,102
T0323_1,1,1,1,97
T0323_2,1,1,1,96
T0328_1,1,1,1,96
T0328_2,1,1,1,96
T0349_1,1,1,1,97
T0349_2,1.001,0.9989,1,103
T0349_3,1,1,1,97
T0353_1,1.001,1,1,103
T0353_2,1,1,1,97
T0353_3,1,1,1,97
T0361_1,1,1,1,96
T0361_2,1,1,1,97
T0361_3,1,1,1,97
T0362_1,1,1,1,97
T0362_2,1,1,1,97
T0362_3,1,1,1,98
T0363_1,1,1,1,97
T0363_2,1,1,1,96
T0364_1,0.9991,0.9983,1,100
T0364_2,1,1,1,97
T0365_1,1,1,1,96
T0365_2,1,1,1,97
T0367_1,1.002,1.001,1,101
T0367_2,1,1,1,96
T0368_1,1,1.001,0.9989,107
T0368_2,0.998,1,1.001,107
T0368_3,1,1,1,96
T0369_1,1,1,1,98
T0369_2,1,1,1,98
T0369_3,1,1,1,97
T0370_1,1,1,1,96
T0370_2,1,1,1,96
T0370_3,1,1,1,96
T0371_1,1,1,1,97
T0373_1,1,1,1,97
T0374_1,1,1,1,97
T0376_1,1,1,1,97
T0376_2,1,1,1,97
T0378_1,1,1,1,97
T0378_2,1,1,1,97
T0380_1,1,1,1,97
T0380_2,1,1,1,98
T0381_1,1.002,1,0.9991,106
T0381_2,1,1,1,98
T0382_1,1,1,1,97
T0382_2,1,1,1,97
T0383_1,0.9998,1,1,102
T0383_2,1,1,1,98
T0383_3,1,1,1,98
T0387_1,1,1,1,97
T0387_3,1,1,1,98
T0388_1,1,1,1,97
T0388_2,1,1,1,96
T0390_1,1,1,1,97
T0390_2,1,1,1,97
T0391_1,0.9983,1.001,1,93
T0391_2,1,1,1,96
T0405_1,1,1,1,96
T0405_2,1,1,1,97
T0408_1,1.002,0.9991,1,104
T0408_2,1,1,1,96
T0423_1,1,1,1,97
T0423_2,1,1,1,97
T0424_1,1,1,1,98
T0424_2,1,1,1,98
T0426_1,1,1,1,97
T0426_2,1,1,1,97
T0428_1,1,1,1,97
T0428_2,1,1,1,96
T0428_3,1,1,1,97
T0431_1,1,1,1,97
T0431_2,1,1,1,97
T0432_1,1,1,1,96
T0432_2,1,1,1,96
T0449_1,1,1,1,97
T0449_2,1,1,1,96
T0457_1,1,1,1,97
T0457_2,1.001,0.9989,0.9989,103
T0472_1,1,1,1,97
T0472_2,1,1,1,97
T0485_1,1,1,1,98
T0485_2,1,1,1,97
T0487_1,1,1,1,95
T0487_2,1,1,1,97
T0487_3,1,1,1,97
T0491_1,1,1,1,96
T0491_2,1,1,1,98
T0492_1,1,1,1,97
T0492_2,1,1,1,97
T0493_1,1,1,1,97
T0493_2,1,1,1,97
T0495_1,1,1,1,96
T0495_2,1,1,1,96
T0496_1,1,1,1,97
T0496_2,1,1,1,97
T0497_1,1,1,1,96
T0497_2,1,1,1,97
T0500_1,1,1,1,96
T0500_2,1,1,1,96
T0503_1,1,1,1,97
T0503_2,1,1,1,97
